name,rating,reviews,company_type,Head_Quarters
HARMAN,3.8,(3.3k),Consumer Electronics & Appliances,Bengaluru +42 other locations
RSPL Group,4.0,(3.3k),FMCG,Kanpur +256 other locations
AGS Health,4.0,(3.3k),Analytics & KPO,Chennai +64 other locations
TVS Credit Services Ltd,4.2,(3.3k),NBFC,Chennai +435 other locations
NatWest Group,4.0,(3.3k),Banking,Gurugram +28 other locations
Croma,3.8,(3.2k),Retail,Mumbai +192 other locations
Niva Bupa Health Insurance Company,4.0,(3.2k),Insurance,New Delhi +321 other locations
InterGlobe Aviation,3.5,(3.2k),Aviation,New Delhi +105 other locations
Alstom Transportation,3.7,(3.2k),Engineering & Construction,Bengaluru +80 other locations
Conduent,3.4,(3.2k),BPO,Bengaluru +34 other locations
Indian Air Force,4.6,(3.2k),Defence & Aerospace,New Delhi +134 other locations
Tata Technologies,3.4,(3.2k),Engineering & Construction,Pune +57 other locations
Tata AIG,4.0,(3.2k),Insurance,Mumbai +260 other locations
GeBBS Healthcare Solutions,3.7,(3.2k),BPO,Mumbai +24 other locations
Allcargo Logistics,3.8,(3.2k),Logistics,Mumbai +175 other locations
UPL,4.1,(3.1k),Agro Chemicals,Ankleshwar +185 other locations
Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad +61 other locations
Max Healthcare,4.0,(3.1k),Healthcare,New Delhi +78 other locations
PepsiCo,4.1,(3.1k),Food Processing,Hyderabad +277 other locations
Amazon Transportation Services,4.2,(3.1k),Logistics,Hyderabad +226 other locations
Titan Company,4.2,(3.1k),Retail,Bengaluru +185 other locations
Dilip Buildcon,3.9,(3.1k),Engineering & Construction,Bhopal +229 other locations
Walmart,3.5,(3.1k),Retail,Bengaluru +91 other locations
Mankind Pharma,3.8,(3.1k),Pharma,New Delhi +247 other locations
Varroc Group,3.6,(3.1k),Auto Components,Pune +62 other locations
Jindal Stainless,4.2,(3.1k),Iron & Steel,Jajpur +78 other locations
S&P Global,4.0,(3.1k),Analytics & KPO,Hyderabad +47 other locations
MSN Laboratories,3.6,(3k),Pharma,Hyderabad +105 other locations
Quest Global,3.5,(3k),IT Services & Consulting,Bengaluru +49 other locations
Societe Generale Global Solution Centre,3.6,(3k),IT Services & Consulting,Bengaluru +23 other locations
Future Group,4.2,(3k),Retail,Mumbai +207 other locations
Sagility,3.9,(3k),BPO,Bengaluru +27 other locations
Afcons Infrastructure,4.2,(3k),Engineering & Construction,Mumbai +122 other locations
Torrent Pharmaceuticals,4.0,(3k),Pharma,Ahmedabad +130 other locations
Square Yards,3.6,(3k),Internet,Gurugram +51 other locations
IDFC FIRST Bharat,4.2,(3k),Financial Services,Chennai +425 other locations
Ola Electric Mobility,3.3,(3k),Automobile,Bengaluru +429 other locations
ESAF Small Finance Bank,3.6,(3k),Banking,Thrissur +445 other locations
HDFC Sales,3.9,(3k),Financial Services,Mumbai +346 other locations
CMS IT Services,3.1,(3k),IT Services & Consulting,Mumbai +152 other locations
Zensar Technologies,3.7,(2.9k),IT Services & Consulting,Pune +29 other locations
I Process Services,3.8,(2.9k),Recruitment,Mumbai +405 other locations
ACC,3.9,(2.9k),Building Material,Mumbai +274 other locations
DS Group,4.1,(2.9k),FMCG,Noida +281 other locations
Suzlon Group,4.0,(2.9k),Power,Pune +141 other locations
Tata Elxsi,3.5,(2.9k),IT Services & Consulting,Bengaluru +30 other locations
Eternal Limited,3.6,(2.9k),Internet,Gurugram +220 other locations
Bharat Financial Inclusion,3.7,(2.9k),Financial Services,Hyderabad +500 other locations
Fujitsu,3.8,(2.9k),IT Services & Consulting,Pune +41 other locations
VVDN Technologies,3.6,(2.9k),IT Services & Consulting,Gurugram +49 other locations
Shoppers Stop,4.0,(2.9k),Retail,Mumbai +82 other locations
Indus Towers,3.6,(2.9k),Telecom,Gurugram +242 other locations
Nokia,4.0,(2.9k),Telecom,Bengaluru +167 other locations
Apollo Tyres,4.0,(2.9k),Auto Components,Chennai +179 other locations
Yazaki,3.9,(2.9k),Auto Components,Pune +94 other locations
IKS Health,3.6,(2.8k),Healthcare,Mumbai +31 other locations
